index,school_type,region,gender,grade,counselling_purpose,question1,question2,question3,question4,question5,question6
S-0171,고등학교,경기도 성남시,남,중,학교 진로 상담 참여,2,3,3,2,2,2
S-0173,고등학교,경기도 성남시,남,하,학교 진로 상담 참여,3,3,3,3,3,3
S-0174,고등학교,경기도 성남시,남,중,학교 진로 상담 참여,4,3,3,3,4,4
S-0175,고등학교,경기도 광주시,여,중,학교 진로 상담 참여,2,2,3,2,2,4
S-0177,고등학교,경기도 성남시,남,상,학교 진로 상담 참여,4,2,3,2,3,4
S-0179,고등학교,경기도 성남시,남,중,학교 진로 상담 참여,2,2,3,3,2,2
S-0182,고등학교,경기도 용인시,남,상,학교 진로 상담 참여,4,4,5,5,5,5
S-0185,고등학교,경기도 성남시,남,하,학교 진로 상담 참여,4,4,4,5,4,4
S-0192,고등학교,경기도 광주시,여,중,학교 진로 상담 참여,5,5,5,5,5,5
S-0196,고등학교,경기도 성남시,여,상,학교 진로 상담 참여,2,2,3,2,2,3
S-0197,고등학교,경기도 성남시,남,중,학교 진로 상담 참여,5,5,5,5,5,4
S-0199,고등학교,경기도 광주시,남,상,학교 진로 상담 참여,3,3,3,4,5,4
S-0200,고등학교,경기도 성남시,여,하,학교 진로 상담 참여,4,3,3,2,5,4
S-0202,고등학교,경기도 성남시,남,상,학교 진로 상담 참여,4,4,4,4,4,4
S-0203,고등학교,경기도 성남시,여,하,학교 진로 상담 참여,4,4,4,4,4,4
S-0205,고등학교,경기도 평택시,남,하,학교 진로 상담 참여,2,2,3,2,2,2
S-0208,고등학교,경기도 성남시,여,상,학교 진로 상담 참여,4,3,2,1,2,3
S-0210,고등학교,경기도 성남시,남,중,학교 진로 상담 참여,4,2,4,2,4,2
S-0214,고등학교,경기도 성남시,여,중,학교 진로 상담 참여,3,3,3,2,3,2
S-0217,고등학교,경기도 성남시,남,중,학교 진로 상담 참여,4,4,4,3,4,4
S-0222,고등학교,경기도 성남시,여,상,학교 진로 상담 참여,3,2,4,2,4,4
S-0223,고등학교,경기도 성남시,남,하,학교 진로 상담 참여,1,1,5,1,3,3
S-0226,고등학교,경기도 성남시,여,상,학교 진로 상담 참여,3,3,3,2,4,4
S-0229,고등학교,경기도 성남시,여,중,학교 진로 상담 참여,4,4,4,4,3,3
S-0232,고등학교,경기도 안산시,여,하,학교 진로 상담 참여,2,2,2,1,3,2
S-0236,고등학교,경기도 성남시,남,하,학교 진로 상담 참여,4,3,3,1,2,2
S-0237,고등학교,경기도 성남시,남,하,학교 진로 상담 참여,5,3,4,3,3,5
S-0238,고등학교,경기도 성남시,여,하,학교 진로 상담 참여,4,2,4,2,2,4
S-0244,고등학교,경기도 성남시,여,중,학교 진로 상담 참여,2,5,3,3,2,3
S-0247,고등학교,경기도 성남시,남,하,학교 진로 상담 참여,5,5,3,1,3,2
S-0253,고등학교,경기도 광주시,여,상,학교 진로 상담 참여,4,3,4,3,3,3
S-0255,고등학교,경기도 성남시,남,중,학교 진로 상담 참여,5,5,3,3,1,3
S-0263,고등학교,경기도 광주시,여,하,학교 진로 상담 참여,4,4,3,3,5,3
S-0264,고등학교,경기도 성남시,남,중,학교 진로 상담 참여,1,1,3,1,2,2
S-0266,고등학교,경기도 성남시,여,중,학교 진로 상담 참여,4,4,4,2,5,4
S-0275,고등학교,경기도 성남시,여,상,학교 진로 상담 참여,3,2,3,4,4,3
S-0278,고등학교,경기도 성남시,남,하,학교 진로 상담 참여,5,1,3,4,4,4
S-0280,고등학교,경기도 성남시,남,하,학교 진로 상담 참여,3,3,4,4,4,4
S-0285,고등학교,경기도 광주시,남,중,학교 진로 상담 참여,3,3,3,2,4,3
S-0291,고등학교,경기도 성남시,여,중,학교 진로 상담 참여,4,4,4,3,5,4
S-0298,고등학교,경기도 성남시,남,중,학교 진로 상담 참여,4,3,3,3,4,3
S-0301,고등학교,경기도 성남시,여,중,학교 진로 상담 참여,2,2,4,2,4,4
S-0307,고등학교,경기도 성남시,남,상,학교 진로 상담 참여,4,3,3,2,4,4
S-0309,고등학교,경기도 성남시,여,중,학교 진로 상담 참여,2,2,3,3,2,4
S-0312,고등학교,경기도 성남시,여,하,학교 진로 상담 참여,3,3,4,4,3,3
S-0315,고등학교,경기도 성남시,여,상,학교 진로 상담 참여,4,2,4,3,4,5
S-0316,고등학교,경기도 성남시,남,하,학교 진로 상담 참여,5,4,3,2,4,4
S-0317,고등학교,경기도 광주시,여,중,학교 진로 상담 참여,4,4,4,4,4,4
S-0318,고등학교,경기도 광주시,남,상,학교 진로 상담 참여,4,3,2,1,3,2
S-0322,고등학교,경기도 성남시,여,상,학교 진로 상담 참여,4,4,3,2,2,3
S-0323,고등학교,경기도 성남시,여,상,학교 진로 상담 참여,3,4,3,2,4,3
S-0327,고등학교,경기도 용인시,여,상,학교 진로 상담 참여,5,2,2,2,3,3
S-0331,고등학교,경기도 성남시,무응답,하,학교 진로 상담 참여,3,3,2,4,3,2
S-0332,고등학교,경기도 성남시,무응답,중,학교 진로 상담 참여,3,4,3,3,3,2
S-0333,고등학교,경기도 성남시,무응답,하,학교 진로 상담 참여,3,4,3,3,3,2
S-0335,고등학교,경기도 성남시,무응답,하,학교 진로 상담 참여,2,2,2,3,3,4
S-0338,고등학교,경기도 성남시,무응답,하,학교 진로 상담 참여,3,3,3,2,3,3
S-0340,고등학교,경기도 성남시,무응답,상,학교 진로 상담 참여,4,3,3,2,4,3
S-0341,고등학교,경기도 성남시,무응답,상,학교 진로 상담 참여,4,3,3,2,4,3
S-0342,고등학교,경기도 성남시,무응답,상,학교 진로 상담 참여,3,3,3,5,3,3
S-0344,고등학교,경기도 성남시,무응답,하,학교 진로 상담 참여,3,3,4,3,4,4
S-0346,고등학교,경기도 광주시,남,하,학교 진로 상담 참여,4,3,3,2,4,3
S-0348,고등학교,경기도 성남시,무응답,중,학교 진로 상담 참여,3,3,3,3,3,3
S-0349,고등학교,경기도 성남시,무응답,하,학교 진로 상담 참여,3,3,3,3,3,3
S-0350,고등학교,경기도 성남시,무응답,하,학교 진로 상담 참여,3,3,4,4,3,3
S-0352,고등학교,경기도 성남시,여,하,학교 진로 상담 참여,3,3,4,2,5,3
S-0357,고등학교,경기도 성남시,여,하,학교 진로 상담 참여,4,4,3,2,5,4
S-0359,고등학교,경기도 성남시,여,하,학교 진로 상담 참여,3,2,3,2,2,3
S-0360,고등학교,경기도 성남시,무응답,하,학교 진로 상담 참여,4,3,4,3,4,3
S-0361,고등학교,경기도 성남시,무응답,상,학교 진로 상담 참여,4,3,3,3,3,3
S-0362,고등학교,경기도 성남시,무응답,상,학교 진로 상담 참여,4,3,3,2,4,3
S-0363,고등학교,경기도 성남시,무응답,중,학교 진로 상담 참여,2,2,2,3,3,4
S-0364,고등학교,경기도 성남시,무응답,상,학교 진로 상담 참여,3,3,3,5,3,3
S-0365,고등학교,경기도 성남시,무응답,중,학교 진로 상담 참여,4,1,4,4,4,2
S-0368,고등학교,경기도 성남시,무응답,중,학교 진로 상담 참여,3,3,3,3,3,3
S-0370,고등학교,경기도 성남시,무응답,중,학교 진로 상담 참여,3,3,4,4,3,3
S-0371,고등학교,경기도 성남시,무응답,하,학교 진로 상담 참여,3,3,4,4,3,3
S-0372,고등학교,경기도 성남시,무응답,상,학교 진로 상담 참여,4,4,3,3,4,4
S-0377,고등학교,경기도 성남시,무응답,상,학교 진로 상담 참여,4,3,3,3,3,3
S-0380,고등학교,경기도 성남시,무응답,하,학교 진로 상담 참여,3,4,3,3,3,2
S-0381,고등학교,경기도 성남시,무응답,중,학교 진로 상담 참여,4,2,4,3,4,4
S-0384,고등학교,경기도 성남시,무응답,하,학교 진로 상담 참여,3,4,3,3,3,2
S-0386,고등학교,경기도 성남시,무응답,상,학교 진로 상담 참여,3,3,3,5,3,3
S-0387,고등학교,경기도 성남시,남,상,학교 진로 상담 참여,5,4,3,2,5,4
S-0388,고등학교,경기도 성남시,무응답,상,학교 진로 상담 참여,3,3,4,3,4,4
S-0393,고등학교,경기도 성남시,무응답,중,학교 진로 상담 참여,4,4,3,3,4,4
S-0394,고등학교,경기도 성남시,무응답,상,학교 진로 상담 참여,4,4,4,3,4,4
S-0395,고등학교,경기도 성남시,남,중,학교 진로 상담 참여,5,3,3,4,4,5
S-0398,고등학교,경기도 광주시,여,상,학교 진로 상담 참여,3,3,3,3,2,3
S-0399,고등학교,경기도 성남시,무응답,중,학교 진로 상담 참여,3,3,3,5,3,3
S-0400,고등학교,경기도 성남시,무응답,하,학교 진로 상담 참여,3,3,3,2,3,3
S-0403,고등학교,경기도 성남시,무응답,상,학교 진로 상담 참여,3,4,3,3,3,2
S-0405,고등학교,경기도 성남시,무응답,하,학교 진로 상담 참여,2,2,2,3,3,4
S-0407,고등학교,경기도 성남시,무응답,중,학교 진로 상담 참여,3,3,2,4,3,2
S-0408,고등학교,경기도 성남시,무응답,중,학교 진로 상담 참여,3,3,3,5,3,3
S-0410,고등학교,경기도 성남시,무응답,중,학교 진로 상담 참여,3,4,2,4,3,2
S-0411,고등학교,경기도 성남시,무응답,중,학교 진로 상담 참여,2,2,2,3,3,4
S-0412,고등학교,경기도 성남시,무응답,중,학교 진로 상담 참여,2,2,2,3,3,4
S-0413,고등학교,경기도 성남시,무응답,하,학교 진로 상담 참여,3,4,3,3,3,2
S-0414,고등학교,경기도 성남시,무응답,하,학교 진로 상담 참여,3,3,3,2,3,3
S-0417,고등학교,경기도 성남시,무응답,하,학교 진로 상담 참여,4,2,4,3,4,4
S-0419,고등학교,경기도 성남시,무응답,하,학교 진로 상담 참여,3,3,4,4,4,4
S-0421,고등학교,경기도 성남시,무응답,중,학교 진로 상담 참여,4,3,3,2,4,3
S-0423,고등학교,경기도 성남시,무응답,중,학교 진로 상담 참여,3,3,3,5,3,3
S-0424,고등학교,경기도 성남시,무응답,상,학교 진로 상담 참여,2,2,2,3,3,4
S-0428,고등학교,경기도 성남시,무응답,중,학교 진로 상담 참여,3,3,4,3,4,4
S-0430,고등학교,경기도 성남시,무응답,하,학교 진로 상담 참여,3,3,4,3,4,4
S-0431,고등학교,경기도 성남시,무응답,하,학교 진로 상담 참여,4,1,4,4,4,2
S-0432,고등학교,경기도 성남시,무응답,하,학교 진로 상담 참여,3,2,1,1,3,1
S-0433,고등학교,경기도 성남시,무응답,중,학교 진로 상담 참여,3,2,1,1,3,1
S-0435,고등학교,경기도 성남시,무응답,하,학교 진로 상담 참여,3,2,1,1,3,1
S-0437,고등학교,경기도 성남시,무응답,상,학교 진로 상담 참여,3,3,3,3,3,3
S-0438,고등학교,경기도 성남시,무응답,상,학교 진로 상담 참여,3,3,3,3,3,3
S-0442,고등학교,경기도 성남시,무응답,상,학교 진로 상담 참여,3,3,3,3,3,3
S-0443,고등학교,경기도 성남시,무응답,하,학교 진로 상담 참여,4,4,3,3,4,4
S-0446,고등학교,경기도 성남시,무응답,중,학교 진로 상담 참여,4,4,3,3,4,4
S-0447,고등학교,경기도 성남시,무응답,중,학교 진로 상담 참여,4,4,3,3,4,4
S-0448,고등학교,경기도 성남시,무응답,중,학교 진로 상담 참여,4,4,4,3,4,4
S-0453,고등학교,경기도 성남시,무응답,상,학교 진로 상담 참여,4,3,4,3,4,3
S-0455,고등학교,경기도 성남시,무응답,하,학교 진로 상담 참여,2,2,3,2,2,4
S-0456,고등학교,경기도 성남시,무응답,하,학교 진로 상담 참여,2,2,3,2,2,4
S-0457,고등학교,경기도 성남시,무응답,하,학교 진로 상담 참여,2,2,3,2,2,4
S-0460,고등학교,경기도 성남시,무응답,중,학교 진로 상담 참여,4,4,3,3,4,4
S-0461,고등학교,경기도 성남시,무응답,하,학교 진로 상담 참여,4,2,4,3,4,4
S-0463,고등학교,경기도 성남시,무응답,하,학교 진로 상담 참여,3,3,3,5,3,3
S-0464,고등학교,경기도 성남시,무응답,하,학교 진로 상담 참여,3,3,3,5,3,3
S-0466,고등학교,경기도 성남시,무응답,하,학교 진로 상담 참여,2,2,2,3,3,4
S-0467,고등학교,경기도 성남시,무응답,상,학교 진로 상담 참여,3,3,2,4,3,2
S-0469,고등학교,경기도 성남시,무응답,하,학교 진로 상담 참여,3,3,3,5,3,3
S-0471,고등학교,경기도 성남시,무응답,하,학교 진로 상담 참여,3,3,3,5,3,3
S-0473,고등학교,경기도 성남시,무응답,상,학교 진로 상담 참여,2,2,2,3,3,4
S-0475,고등학교,경기도 성남시,무응답,하,학교 진로 상담 참여,3,3,2,4,3,2
S-0477,고등학교,경기도 성남시,무응답,중,학교 진로 상담 참여,3,3,3,5,3,3
S-0479,고등학교,경기도 성남시,무응답,하,학교 진로 상담 참여,3,4,3,3,3,2
S-0480,고등학교,경기도 성남시,무응답,상,학교 진로 상담 참여,4,3,3,2,4,3
S-0481,고등학교,경기도 성남시,무응답,상,학교 진로 상담 참여,4,3,3,2,4,3
S-0484,고등학교,경기도 성남시,무응답,중,학교 진로 상담 참여,3,3,4,3,4,4
S-0487,고등학교,경기도 성남시,무응답,상,학교 진로 상담 참여,3,3,3,3,3,3
S-0488,고등학교,경기도 성남시,무응답,중,학교 진로 상담 참여,3,3,3,3,3,3
S-0489,고등학교,경기도 성남시,무응답,상,학교 진로 상담 참여,4,4,3,3,4,4
S-0490,고등학교,경기도 성남시,무응답,하,학교 진로 상담 참여,5,5,4,2,5,3
S-0492,고등학교,경기도 성남시,무응답,상,학교 진로 상담 참여,4,3,4,3,4,3
S-0493,고등학교,경기도 성남시,무응답,하,학교 진로 상담 참여,4,3,4,3,4,3
S-0494,고등학교,경기도 성남시,무응답,하,학교 진로 상담 참여,4,3,4,3,4,3
S-0496,고등학교,경기도 성남시,무응답,하,학교 진로 상담 참여,4,4,4,4,5,4
S-0497,고등학교,경기도 성남시,무응답,하,학교 진로 상담 참여,4,4,4,4,5,4
S-0499,고등학교,경기도 성남시,무응답,상,학교 진로 상담 참여,4,3,3,3,3,3
S-0500,고등학교,경기도 성남시,무응답,하,학교 진로 상담 참여,3,3,4,3,4,4
S-0503,고등학교,경기도 성남시,무응답,중,학교 진로 상담 참여,3,3,2,4,3,2
S-0504,고등학교,경기도 성남시,무응답,하,학교 진로 상담 참여,3,4,3,3,3,2
S-0505,고등학교,경기도 성남시,무응답,상,학교 진로 상담 참여,3,3,3,5,3,3
S-0506,고등학교,경기도 성남시,무응답,하,학교 진로 상담 참여,4,2,4,3,4,4
S-0507,고등학교,경기도 성남시,무응답,하,학교 진로 상담 참여,3,3,3,2,3,3
S-0509,고등학교,경기도 성남시,무응답,중,학교 진로 상담 참여,3,3,2,4,3,2
S-0510,고등학교,경기도 성남시,무응답,상,학교 진로 상담 참여,3,4,3,3,3,2
S-0512,고등학교,경기도 성남시,무응답,상,학교 진로 상담 참여,3,3,3,2,3,3
S-0515,고등학교,경기도 성남시,무응답,하,학교 진로 상담 참여,4,3,3,2,4,3
S-0517,고등학교,경기도 성남시,무응답,상,학교 진로 상담 참여,3,3,3,5,3,3
S-0518,고등학교,경기도 성남시,무응답,중,학교 진로 상담 참여,3,3,3,3,3,3
S-0519,고등학교,경기도 성남시,무응답,하,학교 진로 상담 참여,3,3,3,3,3,3
S-0521,고등학교,경기도 성남시,무응답,하,학교 진로 상담 참여,4,4,4,3,2,4
S-0522,고등학교,경기도 성남시,무응답,하,학교 진로 상담 참여,3,4,3,2,3,3
S-0524,고등학교,경기도 성남시,무응답,상,학교 진로 상담 참여,4,4,3,3,4,4
S-0525,고등학교,경기도 성남시,무응답,상,학교 진로 상담 참여,4,4,3,3,4,4
S-0526,고등학교,경기도 성남시,무응답,하,학교 진로 상담 참여,4,4,3,3,4,4
S-0530,고등학교,경기도 성남시,무응답,하,학교 진로 상담 참여,4,3,4,3,4,3
S-0532,고등학교,경기도 성남시,무응답,중,학교 진로 상담 참여,4,3,3,3,3,3
S-0533,고등학교,경기도 성남시,무응답,중,학교 진로 상담 참여,3,4,3,3,3,2
S-0534,고등학교,경기도 성남시,무응답,상,학교 진로 상담 참여,3,3,3,3,3,3
S-0538,고등학교,경기도 성남시,여,중,학교 진로 상담 참여,3,3,3,2,3,3
S-0543,고등학교,경기도 성남시,남,하,학교 진로 상담 참여,4,2,3,3,4,3
S-0551,고등학교,경기도 용인시,남,하,학교 진로 상담 참여,4,4,3,4,4,4
S-0556,고등학교,경기도 성남시,남,하,학교 진로 상담 참여,4,5,2,1,1,4
S-0557,고등학교,경기도 성남시,여,하,학교 진로 상담 참여,3,2,3,3,4,2
S-0558,고등학교,경기도 성남시,남,상,학교 진로 상담 참여,3,3,1,2,3,1
S-0559,고등학교,경기도 성남시,남,중,학교 진로 상담 참여,4,2,3,3,3,3
S-0562,고등학교,경기도 성남시,남,중,학교 진로 상담 참여,5,5,4,3,4,3
S-0578,고등학교,경기도 성남시,여,상,학교 진로 상담 참여,3,2,3,2,4,3
S-0582,고등학교,경기도 성남시,남,하,학교 진로 상담 참여,3,3,4,3,4,4
S-0599,고등학교,경기도 광주시,여,상,학교 진로 상담 참여,4,3,3,3,4,3
S-0600,고등학교,경기도 김포시,여,하,학교 진로 상담 참여,1,1,3,3,2,2
S-0607,고등학교,경기도 성남시,남,상,학교 진로 상담 참여,2,2,2,3,2,2
S-0618,고등학교,경기도 성남시,남,상,학교 진로 상담 참여,4,1,4,4,2,5
S-0620,고등학교,경기도 성남시,여,하,학교 진로 상담 참여,4,3,3,3,5,3
S-0882,고등학교,경기도 성남시,무응답,하,학교 진로 상담 참여,3,2,5,1,2,5
S-1123,고등학교,경기도 성남시,무응답,상,학교 진로 상담 참여,5,2,5,2,2,1
S-1124,고등학교,경기도 성남시,무응답,하,학교 진로 상담 참여,3,5,4,3,4,3
S-1125,고등학교,경기도 성남시,무응답,중,학교 진로 상담 참여,5,3,1,1,5,5
S-1127,고등학교,경기도 성남시,무응답,하,학교 진로 상담 참여,5,2,4,2,3,5
S-1129,고등학교,경기도 성남시,무응답,중,학교 진로 상담 참여,1,2,2,1,4,2
S-1130,고등학교,경기도 성남시,무응답,상,학교 진로 상담 참여,3,5,1,1,2,3
S-1131,고등학교,경기도 성남시,무응답,상,학교 진로 상담 참여,1,4,4,4,1,2
S-1132,고등학교,경기도 성남시,무응답,중,학교 진로 상담 참여,3,2,4,3,5,3
S-1133,고등학교,경기도 성남시,무응답,하,학교 진로 상담 참여,4,3,1,5,4,4
S-1134,고등학교,경기도 성남시,무응답,하,학교 진로 상담 참여,2,2,4,1,1,5
S-1135,고등학교,경기도 성남시,무응답,상,학교 진로 상담 참여,2,5,5,5,1,3
S-1136,고등학교,경기도 성남시,무응답,하,학교 진로 상담 참여,2,3,5,3,4,2
S-1137,고등학교,경기도 성남시,무응답,상,학교 진로 상담 참여,3,2,2,4,2,1
S-1138,고등학교,경기도 성남시,무응답,상,학교 진로 상담 참여,2,3,2,2,2,4
S-1139,고등학교,경기도 성남시,무응답,중,학교 진로 상담 참여,2,2,3,5,3,2
S-1140,고등학교,경기도 성남시,무응답,하,학교 진로 상담 참여,5,2,4,5,1,4
S-1141,고등학교,경기도 성남시,무응답,하,학교 진로 상담 참여,2,4,1,3,1,2
S-1142,고등학교,경기도 성남시,무응답,상,학교 진로 상담 참여,3,5,1,3,3,5
S-1143,고등학교,경기도 성남시,무응답,중,학교 진로 상담 참여,3,1,4,4,4,2
S-1144,고등학교,경기도 성남시,무응답,상,학교 진로 상담 참여,1,5,1,5,4,3
S-1145,고등학교,경기도 성남시,무응답,상,학교 진로 상담 참여,5,1,1,4,3,4
S-1146,고등학교,경기도 성남시,무응답,상,학교 진로 상담 참여,3,4,3,3,2,1
S-1148,고등학교,경기도 성남시,무응답,하,학교 진로 상담 참여,1,5,4,5,1,4
S-1149,고등학교,경기도 성남시,무응답,상,학교 진로 상담 참여,1,1,1,2,2,3
S-1150,고등학교,경기도 성남시,무응답,중,학교 진로 상담 참여,5,2,3,1,3,3
S-1151,고등학교,경기도 성남시,무응답,상,학교 진로 상담 참여,3,5,3,4,4,2
S-1152,고등학교,경기도 성남시,무응답,중,학교 진로 상담 참여,4,5,2,3,5,3
S-1153,고등학교,경기도 성남시,무응답,중,학교 진로 상담 참여,2,5,1,5,5,3
S-1154,고등학교,경기도 성남시,무응답,상,학교 진로 상담 참여,4,3,1,5,4,3
S-1156,고등학교,경기도 성남시,무응답,중,학교 진로 상담 참여,4,5,2,3,2,5
S-1157,고등학교,경기도 성남시,무응답,하,학교 진로 상담 참여,4,1,3,2,4,1
S-1158,고등학교,경기도 성남시,무응답,하,학교 진로 상담 참여,4,3,3,5,5,1
S-1159,고등학교,경기도 성남시,무응답,중,학교 진로 상담 참여,5,1,5,3,4,4
S-1160,고등학교,경기도 성남시,무응답,상,학교 진로 상담 참여,5,2,5,5,2,4
S-1161,고등학교,경기도 성남시,무응답,하,학교 진로 상담 참여,5,4,4,5,5,2
S-1162,고등학교,경기도 성남시,무응답,중,학교 진로 상담 참여,1,1,1,5,1,1
S-1164,고등학교,경기도 성남시,무응답,중,학교 진로 상담 참여,2,5,2,2,1,3
S-1165,고등학교,경기도 성남시,무응답,상,학교 진로 상담 참여,2,2,2,1,2,5
S-1166,고등학교,경기도 성남시,무응답,하,학교 진로 상담 참여,3,1,1,4,2,1
S-1167,고등학교,경기도 성남시,무응답,하,학교 진로 상담 참여,2,5,5,5,1,2
S-1195,고등학교,경기도 성남시,무응답,중,학교 진로 상담 참여,4,4,5,4,1,4
S-1196,고등학교,경기도 성남시,무응답,하,학교 진로 상담 참여,5,4,1,3,1,3
S-1197,고등학교,경기도 성남시,무응답,상,학교 진로 상담 참여,1,4,1,5,3,5
S-1199,고등학교,경기도 성남시,무응답,중,학교 진로 상담 참여,5,2,4,2,2,3
S-1200,고등학교,경기도 성남시,무응답,상,학교 진로 상담 참여,3,4,5,3,2,2
S-1201,고등학교,경기도 성남시,무응답,상,학교 진로 상담 참여,5,3,4,3,1,1
S-1203,고등학교,경기도 성남시,무응답,상,학교 진로 상담 참여,4,4,4,3,1,5
S-1204,고등학교,경기도 성남시,무응답,중,학교 진로 상담 참여,1,3,5,2,5,3
S-1205,고등학교,경기도 성남시,무응답,하,학교 진로 상담 참여,4,2,3,3,3,4
S-1207,고등학교,경기도 성남시,무응답,하,학교 진로 상담 참여,4,1,3,4,4,2
S-1208,고등학교,경기도 성남시,무응답,중,학교 진로 상담 참여,2,3,5,2,2,3
S-1209,고등학교,경기도 성남시,무응답,하,학교 진로 상담 참여,4,4,4,1,5,4
S-1210,고등학교,경기도 성남시,무응답,상,학교 진로 상담 참여,5,2,4,4,1,4
S-1215,고등학교,경기도 성남시,무응답,상,학교 진로 상담 참여,4,1,3,4,2,2
S-1216,고등학교,경기도 성남시,무응답,중,학교 진로 상담 참여,5,1,1,5,4,1
S-1308,고등학교,경기도 성남시,무응답,하,학교 진로 상담 참여,3,2,2,1,5,2
S-1309,고등학교,경기도 성남시,무응답,하,학교 진로 상담 참여,4,1,1,5,3,5
S-1310,고등학교,경기도 성남시,무응답,하,학교 진로 상담 참여,3,5,3,5,5,5
S-1311,고등학교,경기도 성남시,무응답,하,학교 진로 상담 참여,3,5,4,2,5,1
S-1314,고등학교,경기도 성남시,무응답,중,학교 진로 상담 참여,5,2,5,2,4,3
S-1315,고등학교,경기도 성남시,무응답,중,학교 진로 상담 참여,5,3,5,1,2,2
S-1316,고등학교,경기도 성남시,무응답,상,학교 진로 상담 참여,5,5,5,2,2,5
S-1317,고등학교,경기도 성남시,무응답,상,학교 진로 상담 참여,2,4,5,5,3,5
S-1318,고등학교,경기도 성남시,무응답,상,학교 진로 상담 참여,4,2,1,3,3,4
S-1319,고등학교,경기도 성남시,무응답,상,학교 진로 상담 참여,1,2,4,2,2,4
S-1320,고등학교,경기도 성남시,무응답,하,학교 진로 상담 참여,1,2,5,5,3,4
S-1321,고등학교,경기도 성남시,무응답,상,학교 진로 상담 참여,1,2,2,2,1,4
S-1323,고등학교,경기도 성남시,무응답,하,학교 진로 상담 참여,2,1,1,2,4,1
S-1324,고등학교,경기도 성남시,무응답,상,학교 진로 상담 참여,4,4,3,4,5,4
S-1325,고등학교,경기도 성남시,무응답,하,학교 진로 상담 참여,5,1,2,4,1,3
S-1327,고등학교,경기도 성남시,무응답,중,학교 진로 상담 참여,5,3,3,1,4,2
S-1329,고등학교,경기도 성남시,무응답,중,학교 진로 상담 참여,4,1,5,4,2,1
S-1330,고등학교,경기도 성남시,무응답,중,학교 진로 상담 참여,4,4,3,1,3,5
S-1332,고등학교,경기도 성남시,무응답,상,학교 진로 상담 참여,4,1,1,4,4,3
S-1333,고등학교,경기도 성남시,무응답,중,학교 진로 상담 참여,5,2,2,2,3,1
S-1334,고등학교,경기도 성남시,무응답,하,학교 진로 상담 참여,5,1,2,2,4,5
S-1335,고등학교,경기도 성남시,무응답,상,학교 진로 상담 참여,4,2,3,4,1,3
S-1336,고등학교,경기도 성남시,무응답,중,학교 진로 상담 참여,4,4,3,2,2,4
S-1338,고등학교,경기도 성남시,무응답,중,학교 진로 상담 참여,5,1,3,5,4,5
S-1339,고등학교,경기도 성남시,무응답,상,학교 진로 상담 참여,1,5,4,4,4,5
S-1341,고등학교,경기도 성남시,무응답,상,학교 진로 상담 참여,4,1,1,2,2,1
S-1342,고등학교,경기도 성남시,무응답,중,학교 진로 상담 참여,3,3,5,3,2,1
S-1343,고등학교,경기도 성남시,무응답,하,학교 진로 상담 참여,1,3,1,2,2,5
S-1344,고등학교,경기도 성남시,무응답,중,학교 진로 상담 참여,1,3,3,3,4,2
