student_idx,job_label,expert_comment_ko,summary1,summary2,priority1,priority2,priority3
S-2440,사무계열,"학생에게 추천하는 직무 계열 1순위는 회계 관련직이다. 해당 직무 계열은 학생이 진로로 설정한 세무사를 포함하고 있다. 세무사는 학생의 직업 가치와는 일치하는 직업이지만 적성, 흥미와 일치하는지는 확인되지 않았다. 직업 가치가 일치하는 것도 중요하지만  그 외에도 적성, 흥미가 일치해야 직무를 오래 수행할 수 있다. 자신에 대한 이해를 바탕으로 희망 직업과 얼마나 일치하는지 비교해 본다면 더욱 좋을 것이다. 학생에게 추천하는 직무 계열 2순위는 금융 및 경영 관련직이다. 해당 직무 계열은 학생이 진학을 고민하고 있는 경영학 전공 졸업 후 가질 수 있는 직업들이 많이 포함되어 있다. 훗날 진로를 변경하게 되는 것을 미리 생각해 경영학 전공으로 진학하겠다고 결정한다면 해당 직무 계열에 어떤 직업들이 있는지 파악해 보고 관심이 가는 직업들에 대해서 정보를 수집해 보는 것을 추천한다. 경영컨설턴트, 펀드매니저, 국제무역사무원도 고용 안정성의 조건을 가지고 있으며 발전 가능성, 연봉이 높은 직업이므로 학생이 중요하게 생각하는 직업 가치와 일치한다. 학생에게 추천하는 직무 계열 3순위는 인문 및 사회과학 관련직이다. 해당 직무 계열에 포함되어 있는 경제학 연구원은 학생의 관심 분야, 직업 가치와 일치하므로 추천하였다. 경제학 연구원은 금융·노동·농업 등 전문분야의 경제적·통계적 자료처리능력, 경제학, 경영학, 회계학 등 경제 전반에 대한 지식을 가지고 있어야 하므로 탐구정신이 있는 사람에게 적합하다. 학생이 하나의 직업을 오래 영위하면서 전문성을 높여 나가고 공부하는 것에 흥미가 있다면 추천되는 직업이다. 학생은 현재 명확한 진로 설정은 하였지만 자신의 흥미, 능력, 성격을 이해한 상태에서 설정한 진로가 아니므로 진로 검사를 실시하여 자기 이해를 바탕으로 진로를 설정하거나 계획을 세우는 것도 도움이 될 것이다.",현재 관심 있어 하는 직업은 세무사이다. 대학교에 진학해서 경영학과에 가야 할지 세무회계 학과에 가야 할지 고민을 하고 있다. 현재는 세무사라는 직업을 가지고 싶다는 생각이 확고한데 추후에 진로가 바뀔 수도 있어서 경영학과 진학을 생각하고 있다. 아직까지 진학하고 싶은 대학교에 대해서 정하지는 못하였다. 상담을 통해 최상위권 대학교에 진학할 경우 세무사 시험 관련 고시반이 잘 준비되어 있어서 세무사가 되기 유리하다는 것을 알게 되었다.,"세무사에 대해 관심이 있으며 관심을 가지게 된 계기는 해당 직종에 계신 분이 쓴 책을 읽어보고 관심을 가지게 되었다.
세무사가 되고 싶은 이유는 세무사는 정년이 없어 노후에도 일을 계속할 수 있어 그 부분이 매력적으로 느껴서다.
세무사가 자기 적성이나 흥미에 맞는지는 모르고 있다.
회계사나 감평사, 노무사 등 다른 전문직에는 아직은 관심이 없다.
기업의 재무 회계 쪽에서 선호하는 세무회계학과에 대해 알게 되었으며 복수 전공을 통해 경영학을 공부하게 되면 경쟁력을 갖출 수 있음을 알게 되었다.",회계 관련직,금융 및 경영 관련직,법률 및 사회활동 관련직
S-2446,사무계열,"고등학교 2학년인 학생은 세무사로 진로 목표를 정한 상황이다. 직업의 안정성과 전문성을 중요시하여 해당 직업을 선택하였다. 세무학과보다는 경영학과로 진학하고자 계획하고 있고 서울에 있는 대학을 목표로 하고 있다. 학업 성취에서도 만족스러운 편이라 자신의 목표를 위해 성실하게 노력하고 있다고 할 수 있다. 자신이 목표한 것은 이루고자 집중하는 성격이고 꾸준함과 성실함이 학생의 가장 큰 장점이라 할 수 있겠다. 진로 목표가 분명한 만큼 지금의 노력을 이어간다면 충분히 성취할 수 있을 것이라 여겨진다. 학생의 관심 직업과 진로 목표를 바탕으로 추천하는 직무는 회계 관련직, 금융 및 경영 관련직, 사무 관련직이다. 회계 관련직에는 세무사, 회계사 등 학생의 관심 직업이 포함되어 있어 가장 먼저 고려해 볼 수 있는 직무이다. 금융 및 경영 관련직에는 보험 계리인, 경영 컨설턴트, 금융 자산 운용가 등 경영학과 회계 지식을 활용할 수 있는 직무들이 포함되어 있다. 해당 직무들은 대인관계 능력과 의사소통 능력 또한 많이 요구되므로 자신의 성격과 기초 역량에 대해서 살펴본 후 고려해 볼 수 있을 것이다. 마지막으로 사무 관련직은 국가 공무원이 포함되어 있고 세무 공무원 시험에 응시하여 해당 공무원으로 근무할 수 있기에 함께 살펴볼 수 있는 직무라 할 수 있다.","테크 분야에 관심이 있는 학생은 자율 주행 자동차와 드론 기술에 관심을 보이지만, 이를 개발하거나 관련 기술을 연구하는 것에는 흥미가 없다. 관심사는 매번 바뀐다고 생각하며, 직업과 진로는 안정적인 세무 분야를 원하고 있다. 세무사가 어떤 일을 하는지 정보를 파악하고 있으며, 관련한 대학 학과가 어딘지 탐색하여 미래에 세무 분야의 진로를 가지기를 희망하고 있다.",세무사는 세무사 시험만 통과하면 되어서 학교는 중요하지 않다고 생각한다. 그러나 부모님은 좋은 학교로 가길 원하신다. 일반대학 경영학과에 들어간 후 세무사 시험을 준비할 계획이다. 성격이 일단 목표를 하나 정하면 다른 건 거의 생각하지 않는다. 그런 성격이 장점이기도 하고 단점이기도 하다. 세무사가 되기 위해 경영학과에 진학하는 것 외에 다른 계획은 없다. 체력을 유지하고 보강하기 위해 아침에 달리기하고 있다.,회계 관련직,금융 및 경영 관련직,사무 관련직
S-2450,사무계열,"학생은 현재 고등학교 1학년으로, 대학교 진학 및 전공 선택을 앞두고 있다. 현재 자신의 진로에 대하여, 학교 성적이 좋지 못하고 하고 싶은 것도 없어 이과로 진학을 생각 중인데 이것이 옳은 선택인지 고민이 되어 진로상담을 요청하였다. 이과로 진학하려는 이유는 취직에 유리할 것 같다는 긍정적 미래 전망 때문이다. 공부 관련한 관심사는 전혀 없으며 영화나 드라마 시청하는 것을 좋아한다고 응답하였다. 그러나, 과학 관련 흥미에 대하여 어린 시절 과학 교실에 다니거나 해부학을 해본 경험에 매우 재미를 느꼈으며, 그 이유로 그때 해본 경험 속의 과학은 공부가 아니라 몸으로 배워서 재미가 있었다고 응답하였다. 몸으로 배우는 과학에 대해서 너무 재밌었고 아직도 기억에 남는다는 강한 긍정적 응답을 보였다. 관련하여 자신의 MBTI 유형으로 ISTJ를 응답하였다. 감각적 체험이 중요하고 계획과 논리에 강점이 있는 유형이다. 감각적 활동 내에서 프로젝트를 수행하고 자신의 전문성을 바탕으로 체계화된 일을 진행하는 데 강점이 있을 것으로 보인다. 전반적 상담 내용을 바탕으로 추천 진로를 선정하였다. 1순위로 학생의 생명 관련 흥미와 직접 몸으로 움직이는 직무활동을 고려하여 물리치료사 등을 포함한 보건 의료 관련 서비스직을 추천한다. 2순위로 기술적 전문성을 바탕으로 몸을 활용한 이과 내 진로인 공학 기술직을 추천한다. 3순위로 생물에 관한 흥미를 바탕으로 응급구조사 등이 포함된 안전 관련직을 추천한다.","학교에서 담임선생님과 진로 상담해보았으며 위클래스를 이용해 보지는 않았다.
학교 성적이 좋지 못하고 하고 싶은 것도 없어 이과로 진학을 생각 중인데 이것이 옳은 선택인지 고민하고 있다.
이과로 진학하려는 이유는 나중에 취직하는 데 유리할 것 같아서다.
공부 관련한 관심사는 전혀 없으며 영화나 드라마 시청하는 것을 좋아한다.
영화나 드라마 관련 직업을 가지고 싶은 생각이 없다.
진로 검사를 받아본 경험이 있으나 결과는 기억하지 못한다.",어린 시절 과학 교실에 다니거나 해부학을 해본 경험을 가지고 있다. 과학은 공부가 아니라 몸으로 배우는 것이라고 인지하고 있어 재밌다고 느끼고 있다. 상담을 통해 이과로 진학을 하는 것에 생각을 해보는 것도 좋다는 것을 인지하게 되었다. ISTJ라는 MBTI 검사 결과를 가지고 있다. 인터넷을 통해서 검사를 진행했다. 상담을 통해 해당 지역에 청소년 상담복지센터가 있다는 것을 인지하게 되었다.,이학 전문직,공학 전문직,이공계 교육 관련직
S-2453,기술계열,"학생은 현재 일반 고등학교 1학년에 재학 중이며, 대학교 진학 및 전공 선택을 앞두고 있다. 자신의 진로를 선택하는 데 있어서 진로 상담을 받아본 적이 있으나 여전히 진로 쪽은 깜깜하다고 느껴서 만족스럽진 않았으며, 꿈이라도 있으면 덜 막막하지 않을까 하는 마음이 든다는 응답을 보였다. 막막하고 막연한 마음과 명확히 진로를 선택하고 싶은 마음이 있어 진로상담을 요청한 것으로 보인다. 이과 분야에 뚜렷한 흥미 및 적성을 보였으며, 기계 관련 분야에도 긍정적 응답을 보였다. 자신의 진로희망으로 현재 게임 분야의 개발자를 희망한다고 응답하였다. 상담을 통해 대학 전공 또한 컴퓨터 관련 분야 진학을 고려하게 되었다. 게임 개발자를 희망하는 이유로 자신의 취미가 게임이며 수학처럼 명확하게 떨어지는 직무를 하고 싶다고 응답하였다. 게임 개발자 직무에 대해 일종의 기획안을 바탕으로 게임이 잘 돌아가도록 구현하는 직무를 수행한다고 구체적으로 인식하고 있다. 상담을 통해 기획자와 아트 분야 그리고 프로그래머 세 영역 중 프로그래머가 되고 싶다는 구체적 방향을 세웠다. 신체보다는 전략 및 기획적 직무를 선호하고 관련 역량이 있으며, 직무활동 내에서는 일을 분배하고 하기보다는 혼자 수행하고자 하는 학생의 성향은 기계 관련 전문직 및 프로그래머 관련 직무 모두에 강점이 될 것으로 보인다. 전반적 상담 내용을 바탕으로 추천 진로를 선정하였다. 1순위로 학생이 희망하는 게임산업 내 소프트웨어 개발자가 포함되어 있으며 유망직종으로 꼽히는 IT 관련 전문직을 추천한다. 2순위로 게임산업에 대한 이해와 프로그램 관련 이해를 기반으로 게임 관련 계획 및 기획 직무를 수행하는 예술 기획 관련직을 추천한다 3순위로 기계에 대한 흥미를 기반으로 컴퓨터 공학 관련 연구원 등이 포함된 공학 전문직을 추천한다.","게임 개발자를 희망하고 있으며 어떻게 해야 게임 개발자가 될 수 있는지, 본인과 어울리는지에 대해 궁금해한다. 게임 개발자에 관심을 갖게 된 이유는 여가시간에 주로 게임을 했고, 수학처럼 명확하게 딱 떨어지는 게 좋아서 게임 관련 직업을 찾다가 흥미를 느꼈던 직업이 게임 프로그램 개발자였다. 학교 진로 검사에서도 개발자로 나왔었다. 몸보다는 머리 쓰는 일을, 사람 다루는 일보다는 기계 조작하는 일을, 공부는 혼자 하는 것을, 활동은 같이 하는 것을 선택했으며 기계 다루는 일은 혼자 하는 것을 선택했다.","개발자에 관심이 있고 직업으로 게임 프로그래머를 꿈꾸고 있다.
학교 과목 중 수학, 과학을 좋아하고 잘한다.
수학, 과학 과목을 좋아하는 이유는 답이 논리적으로 명확하게 떨어지는 과목이어서다.
국어, 역사, 사회 과목은 외우기만 하는 과목이라 싫어한다.
게임 개발을 위해서 기획자와 아트 분야 그리고 프로그래머 등 총 세 영역으로 구분이 되어 있고 각 분야의 업무 내용에 대해 알게 되었다.",IT관련전문직,예술기획 관련직,공학 전문직
S-2455,서비스계열,"자신의 흥미로 새로운 사람을 만나는 것이며 여행하는 것을 응답하였다. 자신의 진로희망에 대하여 호텔 내 서비스직을 응답하였으며, 그 외로 여행 가이드와 스튜어디스를 응답하였다. 자신의 현재 진로계획으로는 자신이 알아본 특정 대학교 호텔경영학과를 희망하고 있다. 진로 관련 흥미로 호텔에 관심이 있으며, 특히 호텔 컨시어지 직업에 관심이 있다고 응답하였다. 관광업에도 관심이 있으며 현재 영어를 열심히 공부하고 있다. 여행과 관련하여, 부모님과 일본 오사카에 여행을 갔던 때 했던 긍정적 경험을 응답하였다. 자신의 장점으로 새로운 사람을 만나도 잘 어울리고 친해진다는 대인 관련 적성을 응답하였다. 홀랜드 진로 유형 중 S(사회형) 진로 유형으로 보이며 사회형은 이타적, 상호적, 배려하는 성향을 갖추고 있으며 공감 능력에 기반하여 대인관계 역량에 강점이 있는 유형이다. 스튜어디스에 대해서는 예쁘고 몸매도 좋아야 한다는 걱정과, 여행 가이드는 일단 외국에서 관광객들을 통솔해야 하는 데에서 오는 위험성을 언급하였다. 여행 관련 흥미 및 서비스 진로 내 강점 및 적성을 응답하였으며, 안전한 진로를 원하고 있는 것으로 보인다. 관련 진로에 대한 구체적 입시정보 및 직간접적 진로체험 활동을 추천한다. 전반적 상담 내용을 바탕으로 추천 진로를 선정하였다. 1순위로 현재 학생이 희망하는 호텔 내 서비스직과 승무원 진로를 포함하는 일반 서비스직을 추천한다. 2순위로 여행상품 개발 및 안내원이 포함된 기획 서비스직을 추천한다. 3순위로 호텔경영 관련 진로인 금융 및 경영 관련직을 추천한다.",학생이 좋아하는 것은 새로운 사람을 만나는 것이며 여행하는 것이다. 학생은 부모님이랑 일본 오사카에 여행을 갔던 때가 가장 기억에 남는다. 학생의 장점은 새로운 사람을 만나도 잘 어울리고 친해지는 것이다. 학생은 진로 검사나 심리 검사를 받아본 적이 없으며 호텔에 관심이 많고 호텔 컨시어지 직업에 관심 있다. 학생은 관광업에도 관심이 있으며 제2외국어를 하고 있지 않지만 현재 영어를 신경 써서 공부하고 있다. 학생은 특정 대학교 호텔경영학과에 진학하고 싶어 한다.,관심 있어 하는 직업은 여행 가이드이다. 이전에 스튜어디스도 하고 싶어 했었는데 자신이 예쁘지 않다고 생각해서 못할 것이라고 생각한다. 상담을 통해 외국어를 잘하면 기회가 있다는 사실을 알게 되었다. 그리고 기내 승무원 이외에 지상직 승무원에 대해서도 알게 되었다. 추후에 워크넷 웹사이트를 활용해 자신이 관심 있어 하는 분야의 여러 가지 다양한 직업들에 대해서 탐색해 볼 계획이다.,일반 서비스직,기획서비스직,영업관련 서비스직
S-2461,기술계열,"1순위로는 환경 관련직을 추천할 수 있다. 환경 관련직은 다양한 분야에서 활동하는데, 대표적으로 환경공학 기술자 및 연구원, 환경 엔지니어 등이 있다. 환경 관련직 종사자는 인간과 자연이 서로 연관되어 있음을 이해하고, 자연환경을 보존하기 위한 방법을 모색하거나 이를 실천하고자 하는 의지가 있어야 한다. 또한 과학적이고 합리적인 사고를 통해 문제를 해결하려는 자세도 중요하다. 2순위로는 직업흥미와 적성을 고려할 때 자연친화 관련직을 적합한 직무 계열로 추천할 수 있다. 대표적인 예로 동물조련사나 애견미용사 등이 있다. 자연친화 관련직은 인간과 자연이 서로 연관되어 있음을 이해하고 자연에 대한 관심을 갖고 탐구하여 보호하려는 자세가 필요하다. 또한 앞으로 다양한 분야에서 활용될 가능성이 높기 때문에 미래 유망 직종으로도 주목받고 있다. 3순위로는 이공계열 중에서도 공학 기술직을 적절한 직무 계열로 추천할 수 있다. 공학 기술직은 각종 기계와 장비를 다루는 일을 하기 때문에 수학이나 과학 과목에 흥미가 있고 손재주가 좋은 학생에게 적합하다. 또한 주어진 조건들을 종합해서 새로운 방법을 고안하거나 기존의 방법을 개선하기 위해 노력하는 과정을 즐기는 학생이라면 공학 기술직에 잘 맞을 것이다. 공학 기술직과 관련한 구체적인 직업 정보를 알아보고 자신의 적성에 맞는지 확인해보는 것이 좋다.",중학교 때부터 유튜브에서 지구온난화로 동식물의 서식지가 파괴되는 것을 보고 일상에서 할 수 있는 작은 실천 이외에 기술의 발전으로 이를 해결하고 싶다는 생각에 친환경 분야에 관심을 가지게 되었다. 건축과 소재 공학 계열을 생각 중이다. 하지만 이를 위해 노력이 부족하고 관심 수준에 머무르는 것이 고민이다. 동아리 활동으로 환경지킴이를 하고 있다. 상담을 통해 직접 경험하는 기회를 갖는 것이 진학에 도움이 된다고 느꼈고 다양한 활동을 해 보는 것이 중요하다고 생각한다.,소심하고 상냥하며 조용한 성격을 가지고 있다. 상대방이 상처받을까 말을 잘 하지 못하며 부정적인 피드백을 받을까 봐 어려워한다. 스트레스를 해소할 때 잠을 자거나 영상 시청을 하거나 다이어리를 쓴다. 환경과 심리에 관심을 가지고 있어 환경과 관련된 스트레스 해소 방법을 추천받았고 줍깅 플로깅 등을 새롭게 알게 되었다. 자신이 관심 있는 분야만 알고 있었지만 구체적인 계획이나 활동에 대하여 생각해 봐야겠다고 다짐했다. 또한 평소에 진로 사이트를 알고만 있었고 이용하지 않았으나 앞으로 적극적으로 이용해 보기로 했다.,환경관련 전문직,자연친화 관련직,공학 기술직
S-2462,사무계열,"학생에게 추천하는 직무 계열 1순위는 디자인 관련직이다. 학생은 옷을 만드는 것을 좋아해서 패션 디자인 전공으로 진학하는 것을 고민하고 있다. 해당 직무 계열은 패션 디자이너를 포함하고 있으므로 추천하였다. 학생은 패션 디자인 분야로 진로를 결정을 했을 때 잘할 수 있을지 확신을 가지지 못해서 입시 학원을 수강하는 것을 결정하지 못하고 있다. 먼저 패션 디자인 전공 졸업 후 진로에 대해 잘 알아보고 관련 직업이 요구하는 능력이 자신의 능력과 일치하는지 비교해 볼 필요가 있다. 입시 학원을 당장 수강하지 않아도 상담을 받으면서 진학을 할 수 있는 학교를 알아보거나 자신의 실력이 어느 정도인지 평가받아본다면 도움이 될 것이다. 학생에게 추천하는 직무 계열 2순위는 의복 제조 관련직이다. 해당 직무 계열은 의복수선원, 양장사 및 양복사를 포함하고 있는 직무 계열이다. 양장사 및 양복사는 고객이 요구하는 맞춤 의복을 제작한다는 점이 패션 디자이너가 하는 일과 다른 점이다. 특수 의상이나 무대 의상의 제작을 주문을 받기도 하기 때문에 학생이 하고 싶어 하는 일과 더 가까울 수 있으므로 어떤 일을 하는지 자세하게 알아본다면 좋을 것이다. 학생에게 추천하는 직무 계열 3순위는 공학 전문직이다. 학생은 드레스를 만드는 일에 관심이 있지만 그림 실력이 좋지 못해서 걱정을 하고 있다. 해당 직무 계열은 섬유공학 기술자를 포함하고 있으며 평소 옷의 디자인이나 재질에 대해서 관심이 있는 사람에게 적합한 직업이다. 주변에서 자주 접할 수 있는 섬유와 소재에 대한 제조 방법, 특성과 기능, 섬유가 어떻게 촉감과 색상을 가지게 되었는지에 대한 호기심을 가지고 있으면 좋기 때문에 그림 실력보다는 기초 과학 과목에 흥미를 가지고 있으면 도움이 된다. 학생의 관심 분야와 관련된 다양한 직업이 있으므로 추천된 직무 계열의 직업을 살펴본다면 진로 탐색의 폭이 넓어질 것이다.","어릴 적부터 인형 옷을 만드는 것을 좋아했고 사람 옷, 특히 드레스를 만들면 재밌을 것 같아서 패션디자인 학과로 진학을 희망하지만 아는 정보가 없는 상태이다. 어떤 학교가 유명한지, 실기는 다 있는지 궁금해한다. 그림을 잘 못 그리는데 미술 학원을 다녀야 하는지도 고민이다. 대부분 입시학원에서 준비를 한다는 것을 알지만 금전적인 부분에서 어머니에게 부담이 될까 봐, 또 본인이 할 수 있을지 자신이 없어서 학원을 보내달라고 하기를 망설이고 있다. 하지만 패션 관련 학과에 진학한다면 힘들어도 행복하게 일할 수 있을 것이라 생각한다.",학생은 입시에 대한 준비와 대학 진학 결정에 있어 어려움을 가지고 있다. 패션 관련 디자인 학과를 희망하고 있지만 관련 학과 대신 다른 곳에 입학하여 복수 전공을 할 생각도 가지고 있다. 현재 생각해 보고 있는 대학이 있지만 복수전공할 수 있는 방법과 어느 대학교가 가능한지 알지 못해 상담을 통해 복수 전공이 가능한 대학을 어떻게 찾을 수 있는지 알아보았다.,디자인 관련직,이미용 관련직,의복제조 관련직
S-2467,기술계열,"학생은 영화감독에 관심을 두고 있으나 어떤 준비나 공부를 해야 할지 궁금해하고 있다. 평소 영화 보는 것을 좋아하고, 직접 만들어보고 싶어 했기 때문이다. 연기보다는 감독에 더 관심을 두고 있다. 상담을 통해 전문지식의 습득과 관련 분야의 동아리, 공모전 활동을 추천받았다. 첫 번째 추천 직무는 예술기획 관련직이다. 영화감독을 꿈꾸는 학생에게 해당 직무를 추천한다. 영화감독이 되기 위해 관련 학과, 목표하는 대학을 설정해 보는 것을 추천한다. 그리고 일해보고 싶은 영화사, 기업 등의 채용공고를 확인해 보며 진로계획을 수립해 보기를 권한다. 그리고 자신이 만들어보고자 하는 영화의 장르, 영상의 구도, 출연진, 스토리 등을 구상해 보며 자신의 꿈과 아이디어를 기록해 보기를 추천한다. 두 번째 추천 직무는 영상 관련직이다. 영화감독에 관심을 두고 있는 학생에게 관련 직무를 추천한다. 영상의 촬영, 편집 등의 업무를 맡아 볼 수 있다. 또는 유튜버로 활동하게 된다면 영상의 기획부터 촬영, 편집 등을 맡아볼 수 있다. 만들어보고 싶은 영상 주제에 따라 자료를 조사해 보며 자신만의 영상미를 만들어보는 것을 추천한다. 세 번째 추천 직무는 작가 관련직이다. 영화감독과 관련 직무로 해당 직무를 추천한다. 영화 시나리오 작가, 드라마 작가 등이 되어 활동해 볼 수 있다. 자신의 흥미, 적성, 능력 등 자기탐색의 시간과 직업에 대한 탐색의 시간을 충분히 가지며 진로계획을 수립해나가길 권한다.",현재 관심 있어 하는 직업은 영화감독이다. 그런데 영화감독이 되기 위해서 대학교를 진학을 해야 하는지 만약에 안 해도 된다면 어디서 관련 공부를 해야 할지 잘 알지 못한다. 영화감독이 되고 싶은 이유는 영화 보는 걸 좋아하기도 하고 직접 만들어보고 싶기 때문이다. 상담을 통해 영화 연출 관련 학과들에 대해서 인지하게 되었고 진학을 하기 위해 해야 하는 것들에 대해서 알게 되었다.,상담을 통해 많은 직업들이 사라지고 다시 생겨나는 일들이 반복된다는 것을 알게 되었다. 관심 있어 하는 직업은 영화감독이다. 영화감독이라는 직업의 미래 전망이 좋다고 생각한다. 왜냐하면 사람들이 소비하는 것 중 하나가 영화 고 대중문화인데 소비량이 계속해서 증가하고 있다고 생각하기 때문이다. 그래서 대학교에 진학을 한 이후에 다양한 공모전 활동 동아리 활동들을 할 계획이다.,예술기획 관련직,영상 관련직,음악 관련직
S-2469,사무계열,"학생은 호텔경영학을 진학하고자 한다. 영어동아리 활동을 하며 해외 영화를 보고 영어 공부를 하고 있다. 호텔 쪽뿐만이 아닌 경영 쪽으로 진학해도 괜찮을 것이라고 생각하고 있다. 첫 번째 추천 직무는 기획 서비스직이다. 호텔 지배인이 되기를 꿈꾸는 학생에게 해당 직무를 추천한다. 자신이 목표로 하는 대학, 호텔을 적어보며 자신의 꿈을 구체화해보는 것을 추천한다. 또한 인턴이나 호텔의 아르바이트로 일을 해보며 경험을 쌓아볼 수 있다. 자신이 배우고자 하는 언어들, 그리고 다양한 호텔들에 대한 정보를 수집해 보기를 권한다. 두 번째 추천 직무는 금융 및 경영 관련직이다. 경영에도 관심을 두는 학생에게 관련 직무를 추천한다. 직업으로는 경영컨설턴트, 펀드매니저, 신용 조사원, 투자분석가 등이 있다. 경영컨설턴트의 경우 기업 경영의 문제점을 파악하고 대책을 연구하는 등의 업무를 맡게 된다. 세 번째 추천 직무는 매니지먼트 관련직이다. 관심을 두고 있는 호텔 지배인과 유사 직무를 추천한다. 직업으로는 스포츠 에이전트, 연예인 매니저, 웨딩 플래너 등등이 있다. 스포츠 에이전트의 경우 선수와 소속사를 연결 지어 주며, 운동 훈련 프로그램, 법률서비스 등을 지원하게 된다. 자신에 대한 탐색을 이어나가며 진로에 대한 계획을 수립해나가기를 권한다.","진로를 호텔경영 쪽으로 생각하고 있다. 전망이나 이쪽 진로로 가기 위해 계획을 어떻게 세워야 할지 궁금하다. 특별하게 활동한 것이 없어 정시도 생각하고 있다. 일단 생활기록부를 호텔경영 쪽으로 꾸며 보는 게 좋을 것이라고 알게 되었다. 지금 성적은 내신과 활동, 모의고사를 다 함께 준비하는 것이 유리하다는 것을 알았다. 동아리 활동으로 영어 동아리를 하고 있다. 그러나 2학년 때에는 호텔경영이나 경영 쪽으로 해야겠다고 생각했다.","호텔 경영 분야의 직종에서 유명 기업에 들어가는 것을 목표로 하고 있으며, 향후 전망도 괜찮다고 생각하고 있다. 스트레스를 많이 받을 때 유튜브에서 명상하는 영상을 통해서 스트레스를 극복하고 있다. 성격 유형 검사에서 자기 자신을 표현할 수 있고 나타내는 일을 해야 장점을 살릴 수 있다는 결과가 나왔다. 진학하고 싶은 학과는 호스피탈러티 경영학과와 관광 엔터테인먼트 학부가 있다.",기획서비스직,금융 및 경영 관련직,일반 서비스직
S-2470,기술계열,"학생은 여군을 진로로 생각하고 있다. 여군에게 필요한 신체 능력, 근성, 판단력 등을 알게 되었고, 헌신하는 마음이 필요하다는 것을 알게 되었다. 또한 진로의 다양한 방법을 알게 되었다. 학생은 체력이 자신 있어서 경찰, 소방관도 생각해 본 적이 있다. 관련 직무의 행정공무원도 알아보게 되었다. 첫 번째 추천 직무는 안전 관련직이다. 여군, 경찰, 소방관에 관심을 두고 있기에 해당 직무를 추천한다. 이외에도 응급구조사, 교도관, 경호원 등의 직업이 포함된다. 진로를 설정함에 있어서 필요한 것은  자신에 대한 탐색(좋아하는 것, 싫어하는 것, 경험해 보고 싶은 것 등등), 직업과 치과 우선순위, 직업 탐색 등이 있다. 각각을 탐색하면서 자신만의 이유를 기록해 보기를 추천한다. 이를 통해 자신의 성향, 흥미, 적성 등을 파악해 볼 수 있다. 두 번째 추천 직무는 사무 관련직이다. 관심을 둔 공무원 계통의 사무 관련직을 추천한다. 직업으로는 군무원, 법률 사무원, 보건 의료 정보기사, 일반 공무원 등이 있다. 세 번째 추천 직무는 일반 운전 관련직이다. 신체 능력이 뛰어난 학생에게 해당 직무를 추천한다. 직업으로는 철도 및 지하철 기관사(국가직공무원), 선박 항해사 (공무원), 신호원 및 수송원(공무원) 등의 직업이 포함된다. 흥미가 가는 직업을 직접 탐색해 보며 진로계획을 수립해나가기를 권한다.","평소 여군을 보고 멋있다고 생각하게 돼 여군에 관심이 있다. 상담을 통해 군인이 되기 위해서는 체력이 중요하며 국가를 위해 헌신하는 마음이 필요하다는 점을 알게 되었다. 학생 임원 경험을 통해 리더십을 키웠으며 규칙적인 생활을 좋아한다. 또한, 군인이 되기 위해서 대학 진학을 해야 하는지에 대한 궁금증을 가지고 있고, 사관학교나 ROTC 등을 통해 군인이 될 수 있다는 점을 알고 있다.",부사관에 관심이 있으며 군인의 미래 전망에 대해서도 궁금해한다. 부사관 후보생의 하루 일과표를 통하여 적성에 맞을지 생각해 보니 현재는 재밌을 것이라고 느꼈다. 군인에 대한 고용현황에 대해 궁금해했고 로봇이 군인을 대체하여 고용 인원이 점차 줄어든다는 것을 알게 되었다. 안정적인 직업을 선호하기 때문에 군인이 아니라면 경찰이나 소방관에도 관심이 있다. 경찰이 되기 위한 방법에 대해서도 알게 되며 상담을 마쳤다.,안전 관련직,운동 관련직,법률 및 사회활동 관련직
