index,school_type,region,gender,grade,counselling_purpose,question1,question2,question3,question4,question5,question6
S-0167,중학교,경기도 화성시,남,중,학교 진로 상담 참여,5,3,2,3,5,3
S-0176,중학교,경기도 성남시,여,중,학교 진로 상담 참여,4,3,4,4,4,4
S-0180,중학교,경기도 화성시,남,하,학교 진로 상담 참여,4,2,2,2,1,1
S-0181,중학교,경기도 성남시,여,중,학교 진로 상담 참여,4,3,4,4,4,4
S-0184,중학교,경기도 성남시,여,하,학교 진로 상담 참여,5,5,5,3,5,5
S-0186,중학교,경기도 화성시,여,상,학교 진로 상담 참여,3,2,4,2,2,4
S-0187,중학교,경기도 화성시,남,중,학교 진로 상담 참여,4,4,3,3,4,3
S-0190,중학교,경기도 화성시,남,하,학교 진로 상담 참여,4,5,3,2,5,3
S-0191,중학교,경기도 화성시,여,중,학교 진로 상담 참여,4,3,5,5,3,3
S-0194,중학교,경기도 화성시,여,중,학교 진로 상담 참여,2,2,4,3,4,4
S-0204,중학교,경기도 화성시,여,중,학교 진로 상담 참여,4,4,3,2,4,4
S-0206,중학교,경기도 성남시,여,하,학교 진로 상담 참여,4,2,4,2,4,5
S-0207,중학교,경기도 화성시,남,중,학교 진로 상담 참여,4,4,3,3,3,4
S-0211,중학교,경기도 화성시,여,중,학교 진로 상담 참여,4,4,3,3,4,3
S-0212,중학교,경기도 화성시,여,중,학교 진로 상담 참여,4,4,4,3,4,3
S-0213,중학교,경기도 성남시,남,상,학교 진로 상담 참여,3,5,4,5,2,4
S-0220,중학교,경기도 화성시,남,상,학교 진로 상담 참여,4,5,1,3,3,3
S-0228,중학교,경기도 화성시,여,하,학교 진로 상담 참여,2,1,4,3,1,3
S-0231,중학교,경기도 성남시,남,상,학교 진로 상담 참여,4,4,5,5,4,4
S-0234,중학교,경기도 화성시,여,중,학교 진로 상담 참여,3,3,2,2,5,3
S-0235,중학교,경기도 화성시,여,하,학교 진로 상담 참여,3,3,4,2,3,4
S-0243,중학교,경기도 성남시,여,하,학교 진로 상담 참여,5,4,4,3,5,4
S-0249,중학교,경기도 화성시,여,상,학교 진로 상담 참여,3,3,3,2,3,3
S-0251,중학교,경기도 화성시,남,상,학교 진로 상담 참여,4,4,2,4,4,5
S-0256,중학교,경기도 성남시,여,하,학교 진로 상담 참여,2,2,2,2,2,2
S-0258,중학교,경기도 화성시,여,상,학교 진로 상담 참여,4,4,3,2,4,5
S-0261,중학교,경기도 화성시,여,하,학교 진로 상담 참여,3,1,2,1,3,2
S-0267,중학교,경기도 성남시,여,중,학교 진로 상담 참여,5,5,4,2,5,3
S-0269,중학교,경기도 성남시,남,중,학교 진로 상담 참여,4,3,3,3,2,4
S-0274,중학교,경기도 성남시,여,중,학교 진로 상담 참여,4,3,5,4,4,5
S-0276,중학교,경기도 화성시,여,상,학교 진로 상담 참여,5,5,4,4,4,4
S-0277,중학교,경기도 성남시,여,중,학교 진로 상담 참여,4,3,4,3,3,3
S-0282,중학교,경기도 화성시,여,상,학교 진로 상담 참여,4,4,4,3,5,3
S-0283,중학교,경기도 화성시,여,상,학교 진로 상담 참여,4,2,3,2,4,4
S-0289,중학교,경기도 화성시,여,하,학교 진로 상담 참여,4,3,4,4,4,4
S-0292,중학교,경기도 성남시,여,중,학교 진로 상담 참여,4,4,3,3,4,4
S-0293,중학교,경기도 성남시,여,상,학교 진로 상담 참여,3,2,3,2,2,2
S-0296,중학교,경기도 성남시,남,하,학교 진로 상담 참여,5,5,5,2,5,5
S-0297,중학교,경기도 성남시,남,상,학교 진로 상담 참여,4,2,3,3,3,4
S-0330,중학교,경기도 성남시,남,하,학교 진로 상담 참여,3,3,3,4,2,4
S-0339,중학교,경기도 성남시,무응답,하,학교 진로 상담 참여,2,2,2,3,3,4
S-0355,중학교,경기도 성남시,무응답,하,학교 진로 상담 참여,4,4,3,3,4,4
S-0358,중학교,경기도 성남시,여,상,학교 진로 상담 참여,3,2,3,2,2,2
S-0369,중학교,경기도 성남시,무응답,중,학교 진로 상담 참여,3,3,4,4,3,3
S-0373,중학교,경기도 성남시,무응답,중,학교 진로 상담 참여,4,3,4,3,4,3
S-0379,중학교,경기도 성남시,무응답,상,학교 진로 상담 참여,2,2,2,3,3,4
S-0383,중학교,경기도 성남시,무응답,상,학교 진로 상담 참여,4,2,4,3,4,4
S-0385,중학교,경기도 성남시,무응답,중,학교 진로 상담 참여,3,4,3,3,3,2
S-0389,중학교,경기도 성남시,무응답,상,학교 진로 상담 참여,3,3,3,3,3,3
S-0392,중학교,경기도 성남시,무응답,하,학교 진로 상담 참여,4,4,3,3,4,4
S-0401,중학교,경기도 성남시,무응답,하,학교 진로 상담 참여,3,3,3,5,3,3
S-0402,중학교,경기도 성남시,무응답,중,학교 진로 상담 참여,2,3,3,3,2,3
S-0415,중학교,경기도 성남시,무응답,하,학교 진로 상담 참여,3,3,3,5,3,3
S-0416,중학교,경기도 성남시,무응답,하,학교 진로 상담 참여,2,2,2,3,3,4
S-0420,중학교,경기도 성남시,무응답,하,학교 진로 상담 참여,4,3,3,2,4,3
S-0425,중학교,경기도 성남시,무응답,하,학교 진로 상담 참여,5,5,4,4,4,4
S-0427,중학교,경기도 성남시,무응답,중,학교 진로 상담 참여,3,3,4,3,4,4
S-0429,중학교,경기도 성남시,무응답,상,학교 진로 상담 참여,3,3,4,3,4,4
S-0434,중학교,경기도 성남시,무응답,상,학교 진로 상담 참여,3,2,1,1,3,1
S-0445,중학교,경기도 성남시,무응답,하,학교 진로 상담 참여,5,5,4,2,5,3
S-0450,중학교,경기도 성남시,무응답,중,학교 진로 상담 참여,4,4,4,3,4,4
S-0451,중학교,경기도 성남시,무응답,중,학교 진로 상담 참여,3,4,3,3,3,4
S-0452,중학교,경기도 성남시,무응답,중,학교 진로 상담 참여,4,4,3,4,4,4
S-0458,중학교,경기도 성남시,무응답,중,학교 진로 상담 참여,2,2,3,2,2,4
S-0472,중학교,경기도 성남시,무응답,하,학교 진로 상담 참여,2,2,2,3,3,4
S-0483,중학교,경기도 성남시,무응답,하,학교 진로 상담 참여,3,3,4,3,4,4
S-0485,중학교,경기도 성남시,무응답,중,학교 진로 상담 참여,3,3,3,3,3,3
S-0486,중학교,경기도 성남시,무응답,중,학교 진로 상담 참여,3,3,3,3,3,3
S-0491,중학교,경기도 성남시,무응답,하,학교 진로 상담 참여,4,4,3,3,4,4
S-0495,중학교,경기도 성남시,무응답,하,학교 진로 상담 참여,2,2,3,2,2,4
S-0498,중학교,경기도 성남시,무응답,상,학교 진로 상담 참여,4,4,4,4,5,4
S-0502,중학교,경기도 성남시,무응답,중,학교 진로 상담 참여,4,2,4,3,4,4
S-0508,중학교,경기도 성남시,무응답,하,학교 진로 상담 참여,2,2,2,3,3,4
S-0511,중학교,경기도 성남시,무응답,하,학교 진로 상담 참여,3,3,3,2,3,3
S-0513,중학교,경기도 성남시,무응답,중,학교 진로 상담 참여,3,3,2,4,3,2
S-0514,중학교,경기도 성남시,무응답,하,학교 진로 상담 참여,3,4,3,3,3,2
S-0520,중학교,경기도 성남시,무응답,하,학교 진로 상담 참여,4,4,3,3,4,4
S-0529,중학교,경기도 성남시,무응답,하,학교 진로 상담 참여,4,3,4,3,4,3
S-0531,중학교,경기도 성남시,무응답,중,학교 진로 상담 참여,4,3,3,3,3,3
S-0537,중학교,경기도 화성시,여,중,학교 진로 상담 참여,3,3,3,4,4,4
S-0539,중학교,경기도 화성시,여,중,학교 진로 상담 참여,4,4,4,3,2,3
S-0541,중학교,경기도 화성시,남,상,학교 진로 상담 참여,4,3,3,3,4,3
S-0542,중학교,경기도 화성시,남,상,학교 진로 상담 참여,4,4,4,3,5,3
S-0544,중학교,경기도 화성시,여,중,학교 진로 상담 참여,4,3,3,3,4,3
S-0547,중학교,경기도 화성시,여,하,학교 진로 상담 참여,3,1,5,3,5,3
S-0548,중학교,경기도 화성시,남,중,학교 진로 상담 참여,5,5,5,5,5,5
S-0550,중학교,경기도 화성시,여,중,학교 진로 상담 참여,4,3,4,4,3,4
S-0561,중학교,경기도 화성시,여,하,학교 진로 상담 참여,4,4,4,2,4,2
S-0563,중학교,경기도 화성시,남,상,학교 진로 상담 참여,3,2,3,2,4,3
S-0564,중학교,경기도 화성시,여,상,학교 진로 상담 참여,5,2,3,2,5,4
S-0565,중학교,경기도 화성시,여,하,학교 진로 상담 참여,4,3,5,3,5,3
S-0566,중학교,경기도 성남시,여,하,학교 진로 상담 참여,4,4,4,2,4,4
S-0567,중학교,경기도 화성시,여,중,학교 진로 상담 참여,4,4,3,2,4,3
S-0568,중학교,경기도 화성시,남,하,학교 진로 상담 참여,4,2,4,2,4,2
S-0569,중학교,경기도 성남시,남,중,학교 진로 상담 참여,3,4,4,4,3,3
S-0570,중학교,경기도 화성시,여,중,학교 진로 상담 참여,4,3,2,2,4,4
S-0571,중학교,경기도 화성시,여,상,학교 진로 상담 참여,3,2,3,4,2,4
S-0572,중학교,경기도 화성시,여,중,학교 진로 상담 참여,3,3,3,3,3,4
S-0574,중학교,경기도 성남시,여,상,학교 진로 상담 참여,2,2,3,2,2,2
S-0575,중학교,경기도 화성시,여,하,학교 진로 상담 참여,3,3,3,4,3,3
S-0577,중학교,경기도 화성시,여,중,학교 진로 상담 참여,5,4,3,4,5,4
S-0580,중학교,경기도 화성시,여,중,학교 진로 상담 참여,3,4,3,4,4,5
S-0595,중학교,경기도 평택시,남,중,학교 진로 상담 참여,3,2,3,2,4,4
S-0596,중학교,경기도 화성시,여,상,학교 진로 상담 참여,5,5,3,3,5,4
S-0597,중학교,경기도 화성시,남,중,학교 진로 상담 참여,4,4,3,3,3,4
S-0598,중학교,경기도 화성시,남,중,학교 진로 상담 참여,5,5,4,4,5,5
S-0601,중학교,경기도 화성시,여,하,학교 진로 상담 참여,5,5,3,3,5,3
S-0603,중학교,경기도 화성시,여,상,학교 진로 상담 참여,3,3,4,3,4,3
S-0608,중학교,경기도 안성시,남,중,학교 진로 상담 참여,4,3,3,4,5,3
S-0612,중학교,경기도 화성시,여,하,학교 진로 상담 참여,5,5,4,3,2,2
S-0614,중학교,경기도 성남시,여,상,학교 진로 상담 참여,4,4,4,3,3,5
S-0619,중학교,경기도 화성시,여,중,학교 진로 상담 참여,3,3,4,4,3,4
S-0621,중학교,경기도 안성시,남,하,학교 진로 상담 참여,4,2,3,2,4,5
S-0623,중학교,경기도 화성시,여,중,학교 진로 상담 참여,5,4,5,3,5,5
S-0624,중학교,경기도 성남시,무응답,상,학교 진로 상담 참여,4,3,4,3,3,5
S-0658,중학교,경기도 성남시,무응답,하,학교 진로 상담 참여,3,4,1,2,4,2
S-0664,중학교,경기도 성남시,무응답,상,학교 진로 상담 참여,2,1,3,1,1,2
S-0666,중학교,경기도 성남시,무응답,상,학교 진로 상담 참여,4,1,2,3,4,2
S-0667,중학교,경기도 성남시,무응답,중,학교 진로 상담 참여,5,5,5,1,1,5
S-0668,중학교,경기도 성남시,무응답,하,학교 진로 상담 참여,3,3,4,2,3,1
S-0669,중학교,경기도 성남시,무응답,상,학교 진로 상담 참여,3,5,1,5,4,2
S-0670,중학교,경기도 성남시,무응답,상,학교 진로 상담 참여,2,3,3,1,5,3
S-0671,중학교,경기도 성남시,무응답,하,학교 진로 상담 참여,3,5,1,3,5,2
S-0672,중학교,경기도 성남시,무응답,하,학교 진로 상담 참여,5,1,3,4,2,5
S-0674,중학교,경기도 성남시,무응답,중,학교 진로 상담 참여,3,2,3,2,2,5
S-0675,중학교,경기도 성남시,무응답,상,학교 진로 상담 참여,3,5,5,1,4,1
S-0677,중학교,경기도 성남시,무응답,상,학교 진로 상담 참여,3,5,1,2,1,3
S-0678,중학교,경기도 성남시,무응답,상,학교 진로 상담 참여,4,2,2,5,2,5
S-0679,중학교,경기도 성남시,무응답,상,학교 진로 상담 참여,5,3,4,5,2,3
S-0680,중학교,경기도 성남시,무응답,하,학교 진로 상담 참여,2,5,1,5,5,3
S-0682,중학교,경기도 성남시,무응답,하,학교 진로 상담 참여,5,1,2,4,3,5
S-0684,중학교,경기도 성남시,무응답,중,학교 진로 상담 참여,2,2,2,3,3,1
S-0685,중학교,경기도 성남시,무응답,중,학교 진로 상담 참여,1,3,2,1,2,4
S-0686,중학교,경기도 성남시,무응답,상,학교 진로 상담 참여,4,3,5,1,2,3
S-0688,중학교,경기도 성남시,무응답,하,학교 진로 상담 참여,2,1,4,5,3,4
S-0689,중학교,경기도 성남시,무응답,중,학교 진로 상담 참여,3,5,2,4,4,2
S-0690,중학교,경기도 성남시,무응답,상,학교 진로 상담 참여,1,3,5,5,3,1
S-0691,중학교,경기도 성남시,무응답,하,학교 진로 상담 참여,1,1,1,1,2,1
S-0692,중학교,경기도 성남시,무응답,상,학교 진로 상담 참여,5,1,2,4,5,1
S-0693,중학교,경기도 성남시,무응답,상,학교 진로 상담 참여,3,4,2,3,2,3
S-0694,중학교,경기도 성남시,무응답,상,학교 진로 상담 참여,2,1,2,5,3,5
S-0695,중학교,경기도 성남시,무응답,중,학교 진로 상담 참여,5,3,1,1,5,4
S-0696,중학교,경기도 성남시,무응답,상,학교 진로 상담 참여,1,1,3,4,2,3
S-0697,중학교,경기도 성남시,무응답,하,학교 진로 상담 참여,2,4,2,3,3,3
S-0698,중학교,경기도 성남시,무응답,하,학교 진로 상담 참여,5,4,1,1,5,1
S-0699,중학교,경기도 성남시,무응답,상,학교 진로 상담 참여,2,4,1,4,2,4
S-0701,중학교,경기도 성남시,무응답,중,학교 진로 상담 참여,2,2,1,3,1,5
S-0703,중학교,경기도 성남시,무응답,하,학교 진로 상담 참여,5,5,4,5,2,4
S-0704,중학교,경기도 성남시,무응답,상,학교 진로 상담 참여,1,5,1,4,5,1
S-0705,중학교,경기도 성남시,무응답,상,학교 진로 상담 참여,4,3,4,2,5,5
S-0706,중학교,경기도 성남시,무응답,중,학교 진로 상담 참여,2,1,4,3,4,2
S-0707,중학교,경기도 성남시,무응답,상,학교 진로 상담 참여,5,3,5,5,1,4
S-0708,중학교,경기도 성남시,무응답,하,학교 진로 상담 참여,2,4,4,1,5,2
S-0709,중학교,경기도 성남시,무응답,상,학교 진로 상담 참여,2,4,1,3,4,3
S-0710,중학교,경기도 성남시,무응답,하,학교 진로 상담 참여,4,3,3,2,5,5
S-0711,중학교,경기도 성남시,무응답,하,학교 진로 상담 참여,2,2,4,2,4,4
S-0712,중학교,경기도 성남시,무응답,중,학교 진로 상담 참여,1,1,5,5,3,2
S-0713,중학교,경기도 성남시,무응답,중,학교 진로 상담 참여,1,4,2,1,1,2
S-0714,중학교,경기도 성남시,무응답,하,학교 진로 상담 참여,2,4,3,2,5,1
S-0715,중학교,경기도 성남시,무응답,중,학교 진로 상담 참여,4,2,1,5,2,2
S-0716,중학교,경기도 성남시,무응답,중,학교 진로 상담 참여,4,5,1,5,4,4
S-0717,중학교,경기도 성남시,무응답,상,학교 진로 상담 참여,5,5,5,2,4,5
S-0723,중학교,경기도 성남시,무응답,상,학교 진로 상담 참여,1,3,2,3,1,5
S-0725,중학교,경기도 성남시,무응답,상,학교 진로 상담 참여,5,1,3,5,3,2
S-0726,중학교,경기도 성남시,무응답,중,학교 진로 상담 참여,2,4,4,2,3,1
S-0727,중학교,경기도 성남시,무응답,상,학교 진로 상담 참여,3,3,2,4,2,2
S-0728,중학교,경기도 성남시,무응답,중,학교 진로 상담 참여,1,2,5,3,3,2
S-0729,중학교,경기도 성남시,무응답,하,학교 진로 상담 참여,1,4,5,1,3,4
S-0730,중학교,경기도 성남시,무응답,중,학교 진로 상담 참여,4,5,1,4,4,3
S-0731,중학교,경기도 성남시,무응답,하,학교 진로 상담 참여,5,4,3,5,1,1
S-0732,중학교,경기도 성남시,무응답,상,학교 진로 상담 참여,4,4,3,1,5,4
S-0733,중학교,경기도 성남시,무응답,하,학교 진로 상담 참여,5,5,1,2,5,5
S-0734,중학교,경기도 성남시,무응답,중,학교 진로 상담 참여,3,5,1,4,1,3
S-0736,중학교,경기도 성남시,무응답,중,학교 진로 상담 참여,5,5,5,1,5,1
S-0737,중학교,경기도 성남시,무응답,상,학교 진로 상담 참여,1,1,1,4,1,3
S-0738,중학교,경기도 성남시,무응답,상,학교 진로 상담 참여,2,2,2,5,1,4
S-0739,중학교,경기도 성남시,무응답,상,학교 진로 상담 참여,4,1,2,5,3,2
S-0740,중학교,경기도 성남시,무응답,하,학교 진로 상담 참여,1,1,3,4,3,2
S-0741,중학교,경기도 성남시,무응답,하,학교 진로 상담 참여,4,3,1,4,5,1
S-0742,중학교,경기도 성남시,무응답,상,학교 진로 상담 참여,3,5,1,3,1,4
S-0746,중학교,경기도 성남시,무응답,중,학교 진로 상담 참여,2,1,1,4,4,1
S-0747,중학교,경기도 성남시,무응답,상,학교 진로 상담 참여,3,4,3,1,2,3
S-0748,중학교,경기도 성남시,무응답,상,학교 진로 상담 참여,4,5,5,3,3,3
S-0749,중학교,경기도 성남시,무응답,상,학교 진로 상담 참여,1,2,3,4,5,4
S-0752,중학교,경기도 성남시,무응답,하,학교 진로 상담 참여,4,1,1,3,1,2
S-0754,중학교,경기도 성남시,무응답,하,학교 진로 상담 참여,4,5,2,1,3,3
S-0755,중학교,경기도 성남시,무응답,상,학교 진로 상담 참여,5,4,2,2,1,2
S-0756,중학교,경기도 성남시,무응답,상,학교 진로 상담 참여,1,4,3,5,3,4
S-0757,중학교,경기도 성남시,무응답,상,학교 진로 상담 참여,2,1,1,1,1,3
S-0759,중학교,경기도 성남시,무응답,중,학교 진로 상담 참여,5,1,4,5,4,5
S-0760,중학교,경기도 성남시,무응답,하,학교 진로 상담 참여,3,4,1,3,4,3
S-0761,중학교,경기도 성남시,무응답,하,학교 진로 상담 참여,5,1,3,4,1,3
S-0762,중학교,경기도 성남시,무응답,중,학교 진로 상담 참여,5,3,3,2,3,2
S-0763,중학교,경기도 성남시,무응답,중,학교 진로 상담 참여,5,5,2,3,4,2
S-0764,중학교,경기도 성남시,무응답,하,학교 진로 상담 참여,4,4,1,3,2,1
S-0765,중학교,경기도 성남시,무응답,중,학교 진로 상담 참여,2,2,1,4,1,3
S-0766,중학교,경기도 성남시,무응답,중,학교 진로 상담 참여,3,4,4,3,3,4
S-0767,중학교,경기도 성남시,무응답,중,학교 진로 상담 참여,5,4,4,2,2,1
S-0768,중학교,경기도 성남시,무응답,중,학교 진로 상담 참여,2,5,3,5,2,5
S-0769,중학교,경기도 성남시,무응답,상,학교 진로 상담 참여,2,3,1,4,3,4
S-0770,중학교,경기도 성남시,무응답,상,학교 진로 상담 참여,5,3,5,2,1,1
S-0771,중학교,경기도 성남시,무응답,상,학교 진로 상담 참여,4,3,3,1,2,5
S-0772,중학교,경기도 성남시,무응답,상,학교 진로 상담 참여,3,4,2,2,4,2
S-0774,중학교,경기도 성남시,무응답,하,학교 진로 상담 참여,2,4,3,5,4,2
S-0777,중학교,경기도 성남시,무응답,하,학교 진로 상담 참여,2,5,3,5,3,2
S-0780,중학교,경기도 성남시,무응답,상,학교 진로 상담 참여,5,2,4,3,1,5
S-0785,중학교,경기도 성남시,무응답,하,학교 진로 상담 참여,5,4,2,5,5,1
S-0787,중학교,경기도 성남시,무응답,상,학교 진로 상담 참여,1,2,5,2,5,5
S-0788,중학교,경기도 성남시,무응답,중,학교 진로 상담 참여,2,1,5,1,2,2
S-0790,중학교,경기도 성남시,무응답,하,학교 진로 상담 참여,4,3,5,1,1,3
S-0791,중학교,경기도 성남시,무응답,상,학교 진로 상담 참여,1,1,4,4,2,1
S-0792,중학교,경기도 성남시,무응답,상,학교 진로 상담 참여,5,4,1,1,5,3
S-0794,중학교,경기도 성남시,무응답,중,학교 진로 상담 참여,3,5,5,3,4,3
S-0795,중학교,경기도 성남시,무응답,하,학교 진로 상담 참여,5,5,4,4,3,3
S-0797,중학교,경기도 성남시,무응답,하,학교 진로 상담 참여,1,5,5,3,3,4
S-0798,중학교,경기도 성남시,무응답,하,학교 진로 상담 참여,4,4,4,1,5,3
S-0799,중학교,경기도 성남시,무응답,하,학교 진로 상담 참여,3,5,1,1,5,3
S-0800,중학교,경기도 성남시,무응답,중,학교 진로 상담 참여,5,2,1,4,5,4
S-0801,중학교,경기도 성남시,무응답,상,학교 진로 상담 참여,5,1,3,2,4,2
S-0802,중학교,경기도 성남시,무응답,중,학교 진로 상담 참여,5,5,3,2,1,2
S-0803,중학교,경기도 성남시,무응답,하,학교 진로 상담 참여,1,3,4,2,2,4
S-0804,중학교,경기도 성남시,무응답,중,학교 진로 상담 참여,5,1,1,5,4,4
S-0805,중학교,경기도 성남시,무응답,하,학교 진로 상담 참여,2,1,2,5,4,5
S-0806,중학교,경기도 성남시,무응답,상,학교 진로 상담 참여,5,2,2,5,3,2
S-0808,중학교,경기도 성남시,무응답,상,학교 진로 상담 참여,2,1,3,2,5,5
S-0809,중학교,경기도 성남시,무응답,하,학교 진로 상담 참여,1,1,2,4,2,4
S-0810,중학교,경기도 성남시,무응답,중,학교 진로 상담 참여,4,5,4,1,5,2
S-0812,중학교,경기도 성남시,무응답,중,학교 진로 상담 참여,2,3,5,3,4,4
S-0813,중학교,경기도 성남시,무응답,하,학교 진로 상담 참여,2,3,5,5,2,5
S-0815,중학교,경기도 성남시,무응답,상,학교 진로 상담 참여,5,3,3,1,1,3
S-0816,중학교,경기도 성남시,무응답,중,학교 진로 상담 참여,2,3,1,5,1,2
S-0818,중학교,경기도 성남시,무응답,중,학교 진로 상담 참여,5,2,1,5,2,4
S-0820,중학교,경기도 성남시,무응답,중,학교 진로 상담 참여,4,3,3,3,1,4
S-0821,중학교,경기도 성남시,무응답,상,학교 진로 상담 참여,4,3,3,3,4,1
S-0822,중학교,경기도 성남시,무응답,상,학교 진로 상담 참여,1,5,4,2,1,1
S-0823,중학교,경기도 성남시,무응답,하,학교 진로 상담 참여,3,4,3,4,4,1
S-0827,중학교,경기도 성남시,무응답,상,학교 진로 상담 참여,5,3,5,3,4,2
S-0829,중학교,경기도 성남시,무응답,상,학교 진로 상담 참여,4,5,4,3,3,5
S-0830,중학교,경기도 성남시,무응답,상,학교 진로 상담 참여,3,2,3,2,2,1
S-0831,중학교,경기도 성남시,무응답,중,학교 진로 상담 참여,4,2,2,2,2,5
S-0832,중학교,경기도 성남시,무응답,중,학교 진로 상담 참여,2,3,5,3,1,4
S-0834,중학교,경기도 성남시,무응답,중,학교 진로 상담 참여,3,5,2,1,4,5
S-0835,중학교,경기도 성남시,무응답,상,학교 진로 상담 참여,2,4,5,4,2,5
S-0836,중학교,경기도 성남시,무응답,중,학교 진로 상담 참여,2,2,1,3,2,1
S-0838,중학교,경기도 성남시,무응답,상,학교 진로 상담 참여,4,4,2,4,4,2
S-0839,중학교,경기도 성남시,무응답,하,학교 진로 상담 참여,5,3,4,5,2,4
S-0840,중학교,경기도 성남시,무응답,상,학교 진로 상담 참여,2,2,4,3,5,4
S-0842,중학교,경기도 성남시,무응답,하,학교 진로 상담 참여,1,3,2,5,1,3
S-0843,중학교,경기도 성남시,무응답,중,학교 진로 상담 참여,4,1,4,4,3,4
S-0844,중학교,경기도 성남시,무응답,상,학교 진로 상담 참여,1,2,3,1,4,1
S-0845,중학교,경기도 성남시,무응답,하,학교 진로 상담 참여,3,1,4,4,5,4
S-0848,중학교,경기도 성남시,무응답,하,학교 진로 상담 참여,3,4,2,1,5,1
S-0849,중학교,경기도 성남시,무응답,상,학교 진로 상담 참여,2,5,2,5,2,4
S-0850,중학교,경기도 성남시,무응답,하,학교 진로 상담 참여,3,4,2,4,5,2
S-0851,중학교,경기도 성남시,무응답,상,학교 진로 상담 참여,3,5,5,2,5,5
S-0852,중학교,경기도 성남시,무응답,중,학교 진로 상담 참여,2,4,1,2,3,1
S-0854,중학교,경기도 성남시,무응답,상,학교 진로 상담 참여,4,3,3,3,4,1
S-0855,중학교,경기도 성남시,무응답,상,학교 진로 상담 참여,1,5,4,3,4,5
S-0858,중학교,경기도 성남시,무응답,하,학교 진로 상담 참여,2,2,4,5,1,2
S-0859,중학교,경기도 성남시,무응답,상,학교 진로 상담 참여,1,1,5,3,5,3
S-0861,중학교,경기도 성남시,무응답,중,학교 진로 상담 참여,4,2,5,3,4,5
S-0862,중학교,경기도 성남시,무응답,상,학교 진로 상담 참여,4,1,1,3,5,1
S-0863,중학교,경기도 성남시,무응답,상,학교 진로 상담 참여,3,5,5,3,5,2
S-0865,중학교,경기도 성남시,무응답,하,학교 진로 상담 참여,2,2,1,4,1,3
S-0866,중학교,경기도 성남시,무응답,중,학교 진로 상담 참여,2,1,2,3,1,5
S-0867,중학교,경기도 성남시,무응답,상,학교 진로 상담 참여,2,1,5,3,2,1
S-0868,중학교,경기도 성남시,무응답,하,학교 진로 상담 참여,3,5,3,5,1,5
S-0869,중학교,경기도 성남시,무응답,하,학교 진로 상담 참여,4,2,2,1,4,3
S-0871,중학교,경기도 성남시,무응답,중,학교 진로 상담 참여,2,3,5,4,5,3
S-0872,중학교,경기도 성남시,무응답,중,학교 진로 상담 참여,1,4,2,1,5,3
S-0873,중학교,경기도 성남시,무응답,중,학교 진로 상담 참여,3,2,4,4,4,2
S-0874,중학교,경기도 성남시,무응답,중,학교 진로 상담 참여,3,2,5,4,5,1
S-0875,중학교,경기도 성남시,무응답,하,학교 진로 상담 참여,2,4,1,5,3,4
S-0876,중학교,경기도 성남시,무응답,상,학교 진로 상담 참여,5,3,3,1,3,4
